"BY TOOL TYPE","Count"
"Motion Effect Preset","335"
"Editorial / Tutorial Prompt","322"
"Video Generation","292"
"Image Generation","78"
"Viral Preset","66"
"Mixed Media Preset","33"
"Camera Movement Prompt","24"
"Marketing / Ad Generation","6"
"Audio / Voice","4"
"Cinema Studio","4"
"Lipsync / Avatar","1"

"BY MODEL / MOTION EFFECT","Count"
"(unspecified)","383"
"Wan 2.5","236"
"Higgsfield Soul 2.0","78"
"MiniMax Hailuo","66"
"Viral Preset (Higgsfield)","62"
"Seedance 2.0","62"
"Seedance 2.0 4K","49"
"Mixed Media","33"
"Seedance 2.5","31"
"Kling 3.0","31"
"Sora 2","26"
"Cinema Studio","18"
"Marketing Studio","12"
"Seedance","10"
"Nano Banana Pro","10"
"Higgsfield Soul","8"
"MiniMax 2.3","7"
"Recraft V4","6"
"MiniMax","4"
"Seedream 5.0 Pro","3"
"Veo 3.1","3"
"MiniMax 2.3 Fast","2"
"Bullet time","1"
"360 orbit","1"
"Rack focus","1"
"Pan right","1"
"Pan left","1"
"Dolly in","1"
"Dolly zoom","1"
"Zoom in","1"
"Static shot","1"
"Truck right","1"
"Tracking","1"
"Robot arm","1"
"Aerial pullback","1"
"Low tracking","1"
"Crush zoom","1"
"Chase shot","1"
"Tilt up","1"
"POV","1"
"Body-mounted camera: Snorricam","1"
"Timelapse","1"
"Push in","1"
"Drone orbit","1"
"Crane up","1"
"Handheld","1"
"Gemini Omni","1"

"BY GENERATION STYLE","Count"
"(unspecified)","506"
"Cinematic / Film","307"
"Product / Commercial","275"
"Photorealistic","133"
"UGC / Handheld","123"
"Glitch / Experimental","92"
"Fantasy / Sci-Fi","79"
"Fashion / Editorial","73"
"Aerial / Drone","58"
"3D / CGI Render","52"
"Retro / VHS / Analog","46"
"Noir / Moody","36"
"Documentary","36"
"Horror / Thriller","29"
"Anime / Cartoon","26"

"BY VISUAL SUBJECT","Count"
"People / Portrait","934"
"Landscape / Nature","300"
"Architecture / Interior","281"
"Abstract / Texture","228"
"Product / Object","216"
"Vehicles / Transport","168"
"(unspecified)","153"
"Food / Drink","112"
"Animals / Creatures","111"
"Text / Logo / Graphic","100"

"BY SITE SECTION","Count"
"motion","335"
"blog","299"
"soul-community","78"
"viral-presets","66"
"seedance-4k-community","56"
"mixed-media-presets","33"
"academy","32"
"kling-30-community","30"
"creator-hub","15"
"wan-video","12"
"sora-video","11"
"filmmaker-grant","10"
"sora-2-prompt-guide","9"
"nano-banana-pro-prompt-guide","8"
"ai-human-video-generator","8"
"seedance-2-5-community","6"
"remove-object-from-video","6"
"supercomputer","6"
"recraft-v4-styles","6"
"sora-2-upscale","6"
"ai-product-video-generator","5"
"ai-cartoon-generator","5"
"ai-slow-motion-video-maker","5"
"ai-story-generator","4"
"video-to-video","4"
"ai-video-editor","4"
"ai-background-generator","4"
"home","4"
"ai-ad-generator","4"
"cinematic-video-generator","3"
"ai-long-video-generator","3"
"contests","3"
"seedream-5.0-pro","3"
"creator-partnership-program","3"
"veo3.1","3"
"ai-design-generator","3"
"ai-brand-video-generator","2"
"ai-podcast-generator","2"
"image-to-video-ai","2"
"remove-text-from-video","2"
"text-to-video-ai","2"
"add-text-to-video","2"
"ai-art-generator","2"
"ai-nature-video-generator","2"
"ai-voice-over","2"
"ai-event-video-maker","2"
"ai-animal-generator","2"
"ai-talking-avatar","2"
"plugins","2"
"ai-marketing-video-maker","1"
"marketing-automation","1"
"ai-sketch-generator","1"
"ai-explainer-video-maker","1"
"ai-drawing-generator","1"
"ai-movie-generator","1"
"ai-anime-generator","1"
"ai-object-remover","1"
"ai-video-translator","1"
"sketch-to-video-ai","1"
"ai-hairstyle-changer","1"
"ai-image-upscaler","1"
"ai-image-enhancer","1"
"ai-clothes-changer","1"
"ai-portrait-generator","1"
"ai-video-extender","1"
"ai-car-video-generator","1"
"ai-invitation-video-maker","1"
"ai-animal-video-generator","1"
"ai-video-sharpener","1"
"ai-age-progression","1"
"ai-background-video-generator","1"
"ai-unblur-image","1"
"ai-thumbnail-generator","1"
"ai-banner-generator","1"
"ai-presentation-maker","1"
"ai-video-background-changer","1"
"ai-anniversary-video-maker","1"
"ai-anime-video-generator","1"
"ai-business-video-generator","1"
"ai-logo-generator","1"
"ai-product-photography","1"
"ai-short-video-generator","1"
"ai-wallpaper-generator","1"
"ai-commercial-generator","1"
"ai-image-extender","1"
"ai-image-editor","1"
"ai-voice-changer","1"
"ai-profile-picture-generator","1"
"ai-voice-generator","1"
"text-to-speech","1"
"url-to-video","1"
"cursor","1"
"apps","1"
"genjutsu","1"
"storyboard-generator","1"
"enterprise","1"

"BY EXTRACTION SOURCE","Count"
"catalog_page","386"
"article_body","363"
"job_payload","199"
"recreate_link","102"
"figure_caption","91"
"prompt_bank","24"

"BY CONFIDENCE","Count"
"High","1083"
"Low","63"
"Medium","19"

